Section,Key,Value
WHOIS,domain,google.com
WHOIS,registrar,"MarkMonitor, Inc."
WHOIS,creation_date,1997-09-15 04:00:00
WHOIS,updated_date,2019-09-09 15:39:04
WHOIS,expiration_date,2028-09-14 04:00:00
WHOIS,name_servers,NS1.GOOGLE.COM;NS2.GOOGLE.COM;NS3.GOOGLE.COM;NS4.GOOGLE.COM;ns1.google.com;ns2.google.com;ns3.google.com;ns4.google.com
WHOIS,status,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited;clientTransferProhibited https://icann.org/epp#clientTransferProhibited;clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited;serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited;serverTransferProhibited https://icann.org/epp#serverTransferProhibited;serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited;clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited);clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited);clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited);serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited);serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited);serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)
DNS,A,142.251.43.142
DNS,AAAA,2404:6800:4007:83d::200e
DNS,MX,10 smtp.google.com.
DNS,TXT,"""cisco-ci-domain-verification=47c38bc8c4b74b7233e9053220c1bbe76bcc1cd33c7acf7acd36cd6a5332004b"""
DNS,TXT,"""google-site-verification=4ibFUgB-wXLQ_S7vsXVomSTVamuOXBiVAzpR5IZ87D0"""
DNS,TXT,"""docusign=1b0a6754-49b1-4db5-8540-d2c12664b289"""
DNS,TXT,"""facebook-domain-verification=22rm551cu4k0ab0bxsw536tlds4h95"""
DNS,TXT,"""MS=E4A68B9AB2BB9670BCE15412F62916164C0B20BB"""
DNS,TXT,"""docusign=05958488-4752-4ef2-95eb-aa7ba8a3bd0e"""
DNS,TXT,"""v=spf1 include:_spf.google.com ~all"""
DNS,TXT,"""google-site-verification=TV9-DBe4R80X4v0M4U_bd_J9cpOJM0nikft0jAgjmsQ"""
DNS,TXT,"""onetrust-domain-verification=de01ed21f2fa4d8781cbc3ffb89cf4ef"""
DNS,TXT,"""apple-domain-verification=30afIBcvSuDV2PLX"""
DNS,TXT,"""google-site-verification=wD8N7i1JTNTkezJ49swvWW48f8_9xveREV4oB-0Hf5o"""
DNS,TXT,"""globalsign-smime-dv=CDYX+XFHUw2wml6/Gb8+59BsH31KzUr6c1l2BPvqKX8="""
DNS,NS,ns2.google.com.
DNS,NS,ns4.google.com.
DNS,NS,ns1.google.com.
DNS,NS,ns3.google.com.
DNS,CNAME,-
DNS,SPF,-
DNS,DMARC,-
